list1 ;list2 ;list3 ;list4 ;list5;list6;list7;list8;list9;list10 ;list11;list12;list13 ;list14 ;list15;list16 ;list17;list18 ;list19;list20 
8;29;55;72;15;32;70;59;63;13;61;66;18;58;21;47;48;74;68;49
29;32;24;60;39;7;44;16;6;46;31;59;17;15;3;56;30;68;22;80
61;12;39;36;64;70;43;4;45;2;67;24;29;49;10;38;33;78;46;79
39;78;14;57;12;36;52;62;61;64;10;20;46;69;80;49;43;41;29;11
44;23;37;66;49;68;12;69;74;16;34;10;45;32;59;47;50;39;27;54
79;24;18;52;7;45;31;8;73;50;58;63;67;65;56;59;29;15;74;53
21;68;54;75;39;78;50;77;12;18;35;4;57;38;16;59;36;72;33;56
68;74;32;73;5;34;70;45;72;38;67;4;24;80;63;37;61;7;51;60
63;9;25;6;54;61;73;26;51;60;20;43;10;80;64;69;71;14;68;27
66;53;74;70;36;18;39;23;31;60;19;47;30;77;54;69;8;21;38;78
46;14;22;19;38;33;62;20;16;23;69;10;8;1;5;34;7;4;66;70
65;1;8;67;51;76;11;44;52;68;72;33;43;27;16;78;42;5;25;4
13;28;22;45;61;53;64;14;57;39;67;20;2;69;65;9;58;51;6;10
71;67;54;38;64;11;62;32;63;17;8;1;37;16;41;3;66;40;51;77
44;53;3;64;79;4;15;48;19;51;52;61;10;14;55;31;49;38;37;18
42;34;23;68;33;26;6;40;39;9;14;10;52;18;12;31;16;69;37;65
13;25;35;6;24;69;15;68;19;31;27;50;8;28;52;29;79;60;62;40
75;23;2;15;61;39;73;28;7;16;19;21;41;63;64;1;78;49;46;26
48;30;80;12;63;74;76;26;39;54;13;51;15;25;41;14;72;55;17;38
17;66;42;3;24;52;14;77;45;12;28;32;16;13;48;7;18;58;68;23
36;54;78;7;73;24;49;30;25;68;55;14;71;72;23;1;39;9;35;13
27;24;19;35;71;64;49;43;51;30;31;68;47;79;56;18;74;39;67;14
18;42;39;57;8;26;30;59;62;58;63;4;40;22;25;9;24;20;75;38
53;45;4;66;42;32;73;55;64;68;74;22;57;78;11;46;58;2;23;16
74;70;3;17;68;15;79;37;54;16;22;30;53;27;43;36;6;4;69;78
33;3;56;8;42;28;36;67;31;2;27;53;46;79;25;49;44;26;54;65
2;7;77;48;74;35;14;16;1;34;15;39;28;79;57;60;44;36;55;58
39;25;24;69;30;13;77;42;54;16;15;76;75;20;27;46;49;19;33;62
20;72;65;43;73;68;3;8;55;30;58;12;48;14;38;18;80;62;27;34
58;54;33;63;42;36;50;18;17;78;34;72;25;37;4;28;66;21;67;49
21;30;52;4;50;59;11;36;61;6;34;77;60;1;79;49;68;39;65;66
16;46;79;7;68;31;37;71;50;75;60;39;34;54;21;77;53;9;58;51
19;36;37;55;80;18;17;15;47;41;38;57;62;51;65;10;52;64;29;59
50;17;53;45;67;29;14;51;27;1;74;56;59;41;2;47;20;62;54;28
37;17;74;27;25;64;26;63;43;14;70;12;1;24;42;72;9;50;44;6
51;20;27;24;23;50;74;55;38;69;11;12;14;8;37;34;2;9;10;44
29;41;11;79;62;18;63;67;15;70;42;17;37;65;78;75;31;68;39;36
48;20;3;10;14;66;16;7;31;47;43;54;67;38;55;80;68;77;42;15
1;68;67;37;44;50;63;48;60;7;21;52;40;77;10;65;72;58;5;33
47;41;38;37;10;6;12;60;51;40;46;50;25;26;34;75;63;44;31;22
23;32;39;10;35;24;14;21;34;12;29;78;55;16;74;5;4;60;59;20
2;22;51;69;35;7;10;32;15;71;29;57;76;26;55;13;56;79;8;58
21;50;77;68;76;69;19;8;65;52;47;67;63;10;42;2;17;16;54;1
3;30;52;4;48;45;77;18;8;16;23;22;19;10;72;7;53;40;39;56
74;36;27;68;80;8;76;46;19;45;25;44;22;69;20;33;49;1;72;37
20;10;55;14;24;28;80;59;7;61;64;70;73;54;46;23;56;16;44;77
7;45;61;4;72;55;5;53;12;64;32;66;56;27;16;42;59;73;49;19
71;4;62;75;63;72;61;17;15;73;76;53;55;64;41;31;74;58;42;37
36;14;50;4;75;33;30;43;11;24;1;10;64;25;58;65;12;70;74;72
32;17;24;48;60;22;40;77;6;1;65;38;73;10;4;14;61;39;66;5
58;77;75;33;25;65;70;27;17;67;28;18;52;12;51;31;36;68;34;8
51;38;18;11;42;21;53;47;28;15;55;26;41;19;2;23;5;69;46;30
2;54;37;36;1;46;26;80;22;44;19;78;79;14;66;16;62;70;53;7
41;7;25;14;64;77;11;40;57;60;65;44;59;19;54;75;13;30;23;73
51;4;65;31;72;45;66;32;74;42;69;49;3;2;5;77;35;68;21;75
68;19;27;35;16;26;58;6;44;51;38;55;12;76;61;37;49;63;59;14
41;25;57;1;49;52;45;37;24;6;47;77;38;51;50;68;67;13;59;55
27;66;65;55;10;52;72;62;29;68;56;22;2;6;39;75;57;12;31;48
30;57;44;10;24;48;70;56;18;4;38;50;14;31;28;51;3;15;12;40
78;26;69;14;73;1;24;15;18;70;71;46;10;66;65;43;61;9;49;68
36;43;2;24;3;46;62;55;23;67;25;61;30;53;22;32;70;65;42;63
49;23;9;25;3;57;79;39;32;33;31;55;11;78;42;45;26;37;8;41
26;52;47;5;75;1;79;66;15;17;32;44;38;76;70;4;2;74;57;54
23;41;52;16;64;31;58;71;14;32;4;25;70;35;36;19;24;18;9;54
27;17;5;16;41;65;45;79;70;67;1;43;10;44;40;37;78;14;49;24
64;71;22;79;17;19;10;46;1;47;35;78;77;7;4;39;67;14;11;13
8;6;59;33;55;46;61;19;24;1;25;69;7;43;16;45;51;31;4;54
69;12;49;32;19;30;2;52;47;67;66;4;72;57;8;78;6;27;80;50
27;76;37;51;68;56;15;28;64;55;40;23;45;30;71;60;12;2;79;78
4;14;57;79;15;22;78;26;23;53;70;45;46;62;51;5;6;35;42;77
24;37;13;7;63;3;77;49;17;53;74;4;38;12;32;62;25;29;35;52
61;69;66;15;73;64;65;41;42;47;26;43;67;80;29;3;12;45;70;68
59;18;75;20;15;47;48;77;35;76;3;57;49;24;1;65;14;79;6;11
31;26;27;66;70;38;42;2;75;30;1;11;79;4;68;76;18;57;78;6
3;68;7;9;38;67;43;34;21;65;23;27;64;48;1;18;42;66;31;69
52;18;24;41;2;50;47;37;26;60;9;63;29;42;48;19;76;77;62;15
78;38;13;21;12;68;51;18;17;34;8;30;47;40;31;28;69;63;5;24
63;30;24;21;9;75;69;16;39;59;31;64;32;52;73;62;36;20;17;65
38;25;14;2;47;50;68;10;71;40;18;20;64;49;44;26;52;51;66;30
34;8;42;41;30;55;62;72;25;31;10;59;4;54;22;5;26;64;33;47
57;9;42;19;44;40;5;69;22;28;66;80;30;71;76;26;25;41;11;43
72;9;51;43;4;77;29;58;45;46;18;13;80;65;40;60;54;11;16;64
80;69;11;77;18;32;78;70;9;67;51;44;65;1;74;39;22;26;6;36
3;42;72;29;74;23;6;76;15;7;70;1;60;50;19;43;21;52;27;46
75;59;63;79;67;55;42;9;28;12;18;25;14;10;54;70;65;19;51;56
57;1;77;16;80;70;71;28;53;26;69;45;58;38;18;63;74;3;7;4
41;6;11;78;37;24;49;73;45;44;47;38;65;67;62;14;58;5;71;30
1;63;17;64;13;41;53;58;75;44;35;77;21;62;25;34;67;51;37;27
40;67;58;69;7;34;1;41;10;38;44;54;20;65;51;78;36;68;49;73
79;29;9;75;15;66;74;65;38;62;63;76;17;41;52;37;61;59;30;33
32;30;29;33;24;57;12;5;25;18;61;77;9;15;14;53;38;1;8;78
74;70;54;4;17;72;41;44;24;64;62;13;12;66;60;10;30;78;51;7
59;1;54;19;28;76;67;10;72;52;17;66;56;62;12;34;63;50;8;79
36;35;58;23;42;14;64;5;65;4;43;57;77;72;30;61;6;63;3;68
58;68;16;11;20;7;56;40;10;62;74;70;71;35;1;8;78;29;43;23
73;39;41;74;11;26;32;72;4;36;43;51;80;66;49;14;10;65;53;77
38;74;17;23;72;11;13;32;7;15;47;16;70;27;9;78;60;76;44;22
24;20;44;48;62;51;43;2;41;15;49;3;35;46;67;45;39;63;55;25
5;18;27;53;62;42;60;10;59;56;74;44;75;36;47;48;43;4;51;55
6;39;62;70;5;67;74;57;50;29;66;36;35;14;27;49;42;16;33;43
67;74;62;30;68;5;9;27;52;10;7;8;16;25;41;14;55;50;76;45
9;44;61;5;18;64;63;55;78;59;11;41;58;16;1;14;62;6;53;2
2;37;3;16;76;70;26;77;1;24;36;65;52;79;66;68;41;11;10;23
59;71;46;63;5;42;35;67;28;58;27;24;54;9;49;51;80;22;1;20
27;28;45;39;63;79;68;22;70;58;44;61;47;43;56;5;3;69;16;49
74;35;16;53;43;78;69;32;73;52;15;5;9;26;59;11;6;19;39;21
39;49;10;65;27;78;47;11;7;75;61;23;25;56;16;22;32;8;2;40
51;71;10;46;25;56;48;59;68;35;27;4;73;37;14;67;6;57;24;9
43;65;44;28;8;47;63;55;79;73;45;19;56;67;1;17;61;12;54;31
19;1;28;59;30;26;37;21;17;56;65;33;60;3;2;23;22;35;54;79
61;18;35;34;60;5;11;32;76;53;6;13;70;66;42;64;29;27;37;9
63;1;56;68;36;77;9;50;40;23;73;64;69;76;35;48;54;10;65;62
72;6;33;71;59;62;4;9;39;37;43;28;48;26;24;65;34;35;10;79
45;54;46;3;72;21;61;52;37;47;39;15;56;30;17;44;28;20;26;8
47;5;75;26;35;73;44;16;3;24;58;52;80;49;12;70;74;30;62;61
57;15;66;10;38;70;45;6;21;48;32;2;60;64;24;11;12;71;62;50
38;49;9;58;79;5;21;42;46;56;63;2;74;20;44;17;73;61;51;28
49;74;21;43;7;63;20;61;56;64;11;5;30;67;71;15;66;58;78;53
41;25;76;32;70;42;45;44;60;59;16;62;27;48;65;49;80;47;50;33
53;65;54;15;40;80;4;68;14;12;46;13;1;32;34;75;79;73;58;19
3;49;37;1;43;80;72;25;54;33;18;35;29;24;22;63;73;64;62;55
15;25;36;62;78;60;5;37;59;12;33;22;66;58;21;2;42;46;52;31
40;79;52;24;59;25;14;49;60;56;47;63;72;41;64;15;55;22;28;26
22;41;6;19;7;51;15;32;23;80;30;33;60;58;73;50;57;66;21;42
12;16;53;27;55;69;67;49;26;45;37;76;8;79;64;20;15;10;75;13
24;4;42;62;54;43;58;65;45;48;60;7;10;32;79;75;51;17;26;29
16;30;34;29;71;6;55;27;56;23;24;14;44;42;35;67;76;13;51;66
39;28;31;78;12;19;46;3;30;76;65;6;57;27;33;67;11;59;62;32
16;49;74;25;69;55;57;68;18;44;20;48;43;14;76;7;37;61;9;36
39;32;50;37;55;60;64;53;54;80;69;7;18;4;52;46;71;72;79;21
15;56;47;44;35;69;49;70;23;9;59;18;13;36;48;30;37;31;55;46
68;33;26;25;5;14;19;39;53;43;1;64;51;80;62;45;3;73;47;55
57;79;80;10;66;33;52;2;63;54;31;43;76;12;11;34;45;38;19;27
51;43;73;6;28;66;65;62;64;25;59;57;58;56;46;50;78;4;72;33
24;9;28;55;1;43;29;77;58;23;47;64;52;41;27;10;35;46;50;8
24;79;4;42;53;19;63;76;18;2;58;31;20;78;68;75;8;77;61;28
59;23;15;58;55;45;36;34;73;1;80;50;67;17;11;7;75;65;61;70
26;48;1;28;45;18;5;63;3;35;80;37;23;56;39;19;12;72;4;11
67;3;46;75;27;25;12;70;50;8;41;55;20;78;51;68;17;65;79;80
44;6;2;17;51;66;28;79;20;22;71;31;26;64;1;4;58;48;41;43
64;22;44;20;24;52;47;5;79;37;9;76;14;19;25;16;58;73;12;69
20;18;67;75;5;44;8;33;70;77;72;56;60;39;43;76;35;64;40;7
46;52;29;41;57;38;75;40;7;33;47;30;8;50;67;14;22;2;48;26
29;80;24;52;71;20;34;31;37;55;30;50;48;7;40;5;14;67;69;68
66;3;38;39;42;76;46;10;58;70;56;44;16;63;14;25;59;61;26;28
45;66;76;54;8;15;59;62;73;26;79;13;32;2;30;65;69;70;43;20
71;72;12;61;20;70;41;60;63;23;50;8;22;59;7;3;51;26;31;49
76;39;34;68;70;8;29;49;43;26;19;30;40;11;74;24;5;45;72;3
33;71;8;69;63;19;52;38;68;75;29;47;72;31;15;67;51;30;18;41
76;65;38;43;17;51;15;39;8;53;11;74;29;30;12;10;16;72;67;56
43;70;22;76;75;58;26;10;23;47;18;80;33;32;39;16;5;54;49;29
35;43;37;12;1;9;62;28;68;33;24;71;60;73;80;79;54;16;25;5
14;41;12;70;42;25;38;56;8;54;30;21;28;15;75;20;49;10;16;80
78;49;35;5;27;46;6;77;2;43;47;10;4;69;55;36;62;68;26;34
65;28;45;42;77;55;40;60;78;43;79;19;37;61;52;53;33;44;64;70
53;10;56;16;1;63;69;48;66;75;59;52;73;65;33;32;28;78;41;15
1;9;32;57;73;20;80;18;12;77;3;34;58;7;63;33;11;65;56;68
43;52;42;77;61;38;69;19;73;13;17;57;67;44;48;32;35;22;20;2
20;54;4;3;14;40;55;50;25;45;5;65;52;68;58;18;74;23;31;19
61;47;64;69;5;28;14;24;12;40;62;70;59;77;33;73;16;65;42;75
36;52;2;15;77;34;58;35;59;22;45;71;19;38;78;17;64;18;61;60
10;26;27;55;46;79;64;47;16;1;14;50;22;68;19;59;41;20;38;80
2;70;51;44;29;64;20;47;27;61;25;80;1;6;17;49;5;36;39;3
1;58;62;46;61;38;34;17;41;64;31;14;42;47;19;33;11;27;43;22
10;62;19;3;54;11;72;40;58;28;60;32;37;51;77;15;7;63;57;47
36;45;10;64;74;68;78;5;27;8;60;61;26;9;25;11;33;69;35;12
11;40;12;8;25;41;18;16;46;22;54;29;21;10;27;5;72;38;20;45
61;47;71;16;30;26;2;44;77;10;37;53;63;5;50;19;22;43;51;12
7;52;45;70;39;80;56;9;77;46;51;61;21;20;75;57;53;42;72;38
55;72;13;3;26;12;65;63;61;39;5;34;78;1;8;21;58;11;32;15
71;49;61;64;41;69;26;72;60;68;80;39;42;73;53;59;24;6;47;35
64;16;44;59;35;76;40;42;54;80;53;12;58;2;45;51;43;22;63;18
29;75;61;74;64;73;11;57;24;20;21;32;65;33;31;39;23;41;55;36
15;39;47;30;73;80;79;28;59;7;46;66;8;74;45;42;5;55;17;22
48;25;36;37;30;28;47;4;77;6;21;62;67;34;57;58;65;17;15;18
24;41;15;57;13;80;25;79;33;74;10;17;36;55;37;6;49;70;20;14
71;29;22;12;2;11;80;30;52;55;59;43;9;70;77;60;68;18;49;56
57;35;52;63;51;80;64;47;14;41;46;1;10;56;71;7;29;39;6;78
30;74;42;65;51;64;20;68;1;67;77;53;33;50;3;49;78;25;79;37
29;33;19;60;11;50;21;8;39;44;75;65;53;40;55;31;79;61;59;24
19;43;15;68;54;52;76;11;62;41;18;4;7;2;33;53;21;37;8;49
60;23;31;6;43;67;64;58;32;38;4;49;47;8;74;10;14;55;56;9
46;57;27;73;58;65;56;9;4;25;10;20;71;7;50;70;75;5;18;2
51;5;22;10;31;75;63;2;73;65;4;27;19;12;24;16;46;34;44;26
25;80;77;68;57;38;48;44;6;11;40;26;31;53;78;28;50;69;14;52
21;63;28;35;76;42;49;17;25;55;44;70;60;24;54;2;75;33;12;27
68;17;13;55;21;77;38;2;59;30;65;1;60;42;33;75;37;27;78;23
64;35;10;54;14;61;25;32;29;12;21;18;76;58;63;40;66;26;45;53
73;45;36;65;7;3;43;22;79;5;55;25;69;72;78;14;62;2;80;68
58;47;11;60;57;68;74;17;19;32;50;30;43;54;35;51;14;42;37;78
35;69;53;76;47;49;59;9;17;2;54;37;56;21;48;67;19;24;6;57
12;19;42;36;69;41;37;29;59;71;52;24;73;30;1;76;31;51;38;44
64;43;75;72;69;22;56;39;19;67;6;48;60;40;28;16;78;63;62;51
66;61;64;16;14;39;27;9;37;51;59;43;11;5;18;28;68;57;47;32
59;80;65;34;26;58;55;30;29;40;79;32;36;56;13;66;22;76;31;14
23;37;50;14;34;59;22;18;30;26;64;51;24;4;53;47;32;77;67;3
13;36;74;43;8;27;64;58;56;24;53;6;63;26;23;67;49;61;2;11
69;8;64;44;51;28;74;59;79;32;53;78;67;55;46;77;42;26;35;31
69;58;74;38;54;7;28;56;19;73;36;48;52;23;70;1;18;59;29;13
16;39;76;45;3;44;17;57;79;68;52;6;29;47;19;74;51;62;72;18
22;19;73;41;74;66;9;8;10;38;68;42;24;46;7;23;15;72;43;30
33;29;2;40;55;9;25;12;3;8;73;22;72;17;44;10;32;5;59;61
18;46;64;50;60;2;28;80;45;48;9;23;33;69;5;36;56;13;41;70
37;40;5;16;34;17;41;25;69;23;63;12;4;42;70;3;73;26;9;7
37;1;79;49;32;50;56;22;61;40;4;73;28;35;9;75;11;74;21;46
30;24;52;50;2;33;27;65;77;45;9;15;59;22;78;53;47;60;17;64
58;17;70;1;77;29;54;72;33;61;62;44;74;4;55;68;19;56;42;39
9;41;16;40;34;2;54;77;62;37;46;53;59;42;64;56;78;25;80;12
36;38;9;67;10;46;59;58;44;69;31;61;55;48;29;49;35;40;42;5
55;42;10;33;45;75;8;47;16;34;17;23;9;27;46;69;22;74;78;66
72;35;23;33;62;53;36;64;18;13;30;37;8;67;76;5;22;17;41;38
55;57;7;27;8;5;40;23;49;15;33;6;30;41;34;68;1;67;74;71
3;52;24;75;69;34;9;12;56;73;17;70;77;49;63;54;39;58;67;14
63;11;46;35;6;53;4;65;72;2;31;52;48;26;70;66;79;9;62;3
60;72;19;39;37;17;75;79;74;30;26;55;6;28;41;40;77;42;14;57
7;30;39;48;32;68;66;3;67;70;26;54;19;21;13;25;42;55;76;45
39;5;46;15;19;4;27;56;37;6;54;1;62;2;35;31;16;28;12;52
78;53;75;23;62;38;63;74;64;59;65;22;26;58;13;73;17;10;54;36
71;16;8;55;13;42;38;57;4;26;67;31;41;47;22;5;65;75;25;68
59;52;14;64;75;54;53;21;10;60;24;73;74;33;76;70;6;20;35;55
27;76;75;70;15;71;8;46;67;73;36;59;48;3;16;38;9;37;33;56
68;56;12;35;17;51;20;61;78;18;39;44;8;9;25;58;46;54;15;43
29;78;47;51;66;35;72;76;2;54;22;19;11;53;44;45;60;61;71;4
43;53;65;27;21;45;25;22;44;64;61;78;79;63;32;8;58;50;41;13
79;31;70;66;11;38;53;75;77;50;57;49;74;76;71;60;12;1;20;16
80;4;40;76;39;51;46;14;26;37;75;66;62;34;10;45;70;15;20;67
42;34;72;30;14;35;64;48;10;68;36;15;7;5;58;73;67;77;43;29
38;32;8;61;47;30;1;18;6;23;13;27;52;35;51;15;60;37;46;72
55;70;10;16;13;48;49;35;78;8;12;23;44;5;2;68;25;41;14;74
12;7;29;17;19;54;30;67;42;36;38;75;11;68;44;53;4;1;50;22
60;34;10;21;76;39;69;16;78;77;26;47;40;3;13;48;62;1;67;55
10;36;16;31;44;28;70;66;46;11;40;7;79;15;69;64;68;12;14;34
8;11;52;27;63;76;31;13;20;19;18;25;37;4;59;44;48;32;62;56
45;31;35;47;7;70;16;77;56;30;23;40;4;20;12;65;38;78;54;37
68;17;13;8;80;78;43;56;76;41;73;19;34;57;35;65;30;32;61;20
28;34;71;54;17;47;78;51;3;64;27;44;73;35;67;21;41;53;4;79
60;53;50;44;19;49;75;8;29;27;22;7;11;3;40;17;33;79;57;35
40;13;2;26;50;43;5;30;65;68;76;11;16;45;53;57;55;28;8;12
15;73;45;36;22;33;30;74;68;23;49;5;43;53;39;63;51;14;61;3
76;26;30;14;74;72;63;71;48;66;4;56;42;31;24;38;41;50;65;60
18;55;62;19;77;63;16;39;26;17;45;20;3;5;1;51;80;79;7;35
68;13;11;15;10;44;57;61;28;75;4;43;77;67;54;71;9;20;78;63
20;74;31;1;5;57;11;26;4;34;44;7;16;13;48;27;62;38;78;29
5;21;75;63;70;76;60;39;54;42;20;67;50;79;78;66;7;64;12;61
52;23;43;39;4;58;76;28;80;29;65;10;75;42;62;9;69;47;64;54
56;10;30;7;43;31;52;20;12;14;46;17;21;22;15;68;39;61;57;24
51;10;44;62;39;53;79;23;43;65;69;78;75;35;64;9;20;18;67;61
78;57;31;55;70;30;67;9;18;44;24;16;64;15;43;59;80;63;56;54
61;63;1;65;5;58;68;31;53;79;64;11;33;41;30;2;67;29;49;28
53;25;16;71;32;70;8;31;10;65;48;33;38;39;36;1;19;6;74;22
34;19;14;25;75;2;11;59;47;38;68;73;62;48;20;69;12;51;60;17
11;55;5;72;80;48;53;15;64;73;78;35;50;56;12;6;63;67;3;57
63;36;68;56;38;29;67;52;66;26;15;31;46;79;43;9;69;41;8;32
50;27;52;1;78;65;36;24;3;62;26;54;5;57;4;47;77;8;53;58
59;39;4;27;50;74;32;79;18;51;5;16;25;19;34;28;58;67;65;70
3;70;46;12;31;42;65;63;30;64;36;8;17;15;6;5;21;55;24;80
47;27;41;68;55;40;3;26;21;44;28;25;74;50;59;7;30;8;11;66
8;75;50;72;29;35;48;76;33;2;62;79;11;45;13;61;67;53;60;57
59;21;67;36;47;31;14;68;45;58;73;43;64;20;5;35;29;34;28;74
17;67;57;41;1;58;56;29;52;19;36;73;45;20;5;18;35;71;7;44
79;38;10;46;2;27;35;66;61;4;48;7;8;44;65;11;30;22;14;71
52;48;10;33;21;13;60;16;15;64;79;41;1;56;68;70;69;17;36;38
43;30;72;77;29;8;28;56;4;5;34;76;52;39;49;15;26;12;19;32
22;37;31;8;77;49;68;60;32;20;69;27;6;55;53;63;21;79;34;18
3;8;15;13;44;73;48;50;11;63;40;58;78;34;80;79;70;20;5;7
46;66;78;52;63;50;22;18;16;65;34;37;31;54;55;23;8;40;64;7
80;46;51;4;36;78;42;34;54;16;75;73;69;49;57;11;30;26;32;60
4;56;78;76;27;38;21;46;41;77;55;74;25;70;34;47;28;79;73;31
3;26;77;14;43;58;73;31;21;27;36;79;70;6;54;17;4;1;80;35
73;35;24;79;20;14;59;4;42;11;39;55;26;64;69;18;22;51;47;15
8;38;49;53;21;11;79;74;78;3;30;57;15;80;54;47;62;7;40;16
43;12;35;57;23;42;62;9;18;27;46;19;16;51;75;61;29;31;66;24
4;45;71;56;63;21;77;74;20;42;16;32;44;2;55;66;17;68;72;7
27;80;1;79;21;52;36;13;58;37;59;64;67;77;61;38;12;51;46;6
63;72;44;73;37;19;38;60;40;68;66;9;52;5;36;23;51;56;76;67
22;53;33;70;74;17;64;50;75;72;44;10;24;68;39;12;42;56;21;65
41;22;62;34;10;57;7;24;51;53;48;65;61;28;73;16;67;1;27;33
44;2;80;45;11;39;35;71;61;57;8;42;51;10;76;5;23;31;21;69
32;63;73;16;66;15;76;21;20;53;72;18;62;54;67;59;12;35;79;25
39;46;32;27;40;80;66;22;65;7;30;62;63;79;52;54;58;67;1;14
80;63;59;23;2;76;73;54;26;22;21;33;56;30;11;48;36;38;6;72
74;24;8;59;5;52;61;60;34;65;72;73;4;51;9;17;69;35;54;10
30;52;75;28;17;64;42;58;21;22;43;71;54;7;35;15;24;5;41;62
21;67;19;5;77;80;2;41;44;7;36;32;40;54;59;76;33;61;65;78
13;46;41;47;19;62;75;12;31;68;74;58;56;35;6;32;15;61;23;51
70;22;75;13;18;5;7;39;47;20;50;64;16;48;29;44;12;55;54;21
64;70;56;38;15;47;25;35;60;55;3;68;7;40;21;50;49;58;57;62
22;53;59;35;9;4;1;2;15;74;58;40;67;11;50;42;24;26;65;19
43;32;78;1;19;10;8;57;34;33;21;47;29;16;5;79;26;40;66;64
21;31;5;34;76;54;29;40;59;42;37;73;56;51;57;13;48;4;6;1
26;28;72;9;29;73;44;57;8;23;33;37;3;74;71;2;1;18;59;80
16;14;32;8;47;34;17;10;42;59;51;41;74;48;68;4;36;58;9;24
43;3;74;53;21;29;80;67;5;47;76;36;65;63;37;23;64;46;62;73
3;14;31;60;10;51;76;13;4;54;39;63;67;21;22;38;59;65;19;77
60;14;27;34;64;71;53;55;66;74;2;36;15;58;6;37;28;52;25;56
50;47;79;2;32;27;62;70;66;63;65;20;54;38;60;49;10;75;33;52
9;22;20;13;16;70;1;34;78;55;21;53;61;19;25;52;57;15;14;36
69;51;9;78;21;64;19;17;74;48;56;29;6;4;3;15;13;59;53;11
13;64;79;9;40;17;62;66;74;43;71;23;76;77;78;5;61;18;11;28
13;2;76;72;68;17;11;64;9;39;12;51;26;1;19;54;44;23;21;52
27;42;7;40;49;56;50;45;78;66;28;61;24;10;72;17;25;76;8;60
1;18;20;69;62;39;74;2;24;12;30;45;37;36;50;21;16;34;46;78
46;47;28;30;34;71;63;5;1;64;48;56;54;22;17;16;20;68;57;45
33;14;61;59;13;68;3;55;57;20;38;42;25;10;24;65;39;4;26;6
58;59;28;51;5;7;12;17;23;50;30;16;65;75;69;8;44;31;67;70
71;31;51;10;38;72;80;7;29;60;19;42;14;33;65;20;56;5;63;59
40;78;80;51;58;76;62;49;10;1;2;48;13;18;15;69;29;9;30;16
11;38;43;55;62;71;61;32;23;5;36;16;60;6;25;24;64;70;7;45
64;71;53;59;39;72;8;4;23;70;22;66;35;15;55;75;54;74;5;44
48;66;65;63;37;52;21;16;62;2;6;33;20;31;9;44;45;53;22;40
73;76;40;50;24;70;8;42;75;38;41;47;77;65;29;48;74;60;14;6
63;79;27;71;68;6;5;3;67;19;31;14;9;52;34;41;8;36;64;50
25;10;2;61;72;13;57;50;56;67;35;47;6;37;68;62;27;76;3;44
18;56;54;27;15;34;73;21;55;32;7;78;19;72;35;22;50;44;51;8
3;26;56;45;18;22;75;46;28;2;21;12;77;5;78;29;14;76;72;8
46;23;11;30;40;69;78;43;25;45;57;79;47;5;66;33;65;42;7;64
48;3;34;54;44;55;79;52;7;20;60;59;63;39;35;80;37;72;38;5
49;68;51;34;70;22;54;43;20;65;55;14;30;7;5;19;52;79;11;74
55;46;41;5;14;68;13;80;47;65;22;57;11;63;27;74;10;49;58;38
4;23;51;12;18;9;15;24;28;71;33;60;10;65;29;37;42;17;56;77
48;46;23;25;31;18;72;47;39;50;75;37;30;79;19;22;29;8;40;54
13;36;12;1;34;64;66;4;72;8;80;17;79;20;14;65;26;39;58;3
23;44;70;39;10;25;49;14;79;35;76;24;48;75;71;29;32;5;46;65
16;45;51;56;65;5;38;15;42;52;73;58;67;62;68;37;34;33;27;14
8;43;27;48;44;61;78;49;9;16;77;2;70;76;66;13;67;10;56;37
18;42;27;2;51;17;78;5;66;74;10;32;49;12;39;44;3;4;59;65
55;47;32;37;35;63;15;40;6;54;44;75;71;68;34;12;74;17;79;19
76;2;54;50;62;60;17;74;5;19;65;43;16;1;56;12;20;78;67;72
32;68;39;22;59;72;46;49;50;31;48;67;14;24;64;13;16;21;51;12
43;62;3;34;28;75;9;14;77;25;54;59;10;48;67;13;1;30;72;36
52;5;6;51;41;78;59;26;8;15;23;62;19;76;75;36;79;29;39;64
64;27;57;77;25;33;49;14;6;3;20;75;16;40;12;23;34;48;10;5
42;8;25;44;35;64;1;26;59;67;71;31;33;75;45;38;57;14;43;5
62;38;45;17;20;58;12;1;63;41;76;49;50;42;55;27;65;30;71;52
3;54;34;20;77;15;4;40;19;16;10;53;62;61;72;56;79;36;26;39
21;3;43;36;80;30;22;9;65;55;44;53;57;13;79;47;59;75;7;31
26;32;53;51;39;50;59;52;73;72;66;5;74;20;57;61;4;37;21;35
19;66;23;32;43;62;65;25;40;36;26;14;46;69;41;15;60;77;74;79
60;49;36;55;6;48;11;18;65;53;74;3;61;27;58;45;4;25;46;12
57;6;28;33;31;55;69;67;22;48;32;76;42;16;45;40;53;4;46;15
73;76;45;69;38;66;21;49;19;74;43;75;35;65;53;44;63;56;48;70
64;62;17;28;76;59;27;29;47;33;66;75;39;44;18;37;8;43;35;79
48;4;18;21;36;12;40;6;9;75;52;24;39;79;30;14;51;45;49;44
31;5;18;56;20;21;51;59;17;46;49;38;67;44;65;7;2;10;14;53
4;8;73;43;75;33;58;14;63;35;18;36;7;61;71;67;60;3;11;50
15;31;12;8;22;51;13;35;61;4;53;33;40;50;49;59;11;72;75;5
11;42;58;15;26;51;63;12;60;21;79;68;49;30;72;76;50;7;46;78
52;69;80;6;55;10;8;20;25;42;56;21;3;30;23;47;12;58;73;64
